modality,run_id,learning_rate,dropout,weight_decay,batch_size,lambda_gaze_pred,bert_freeze_epochs,val_accuracy,val_precision,val_recall,val_f1,val_auc,best_epoch
image_text,hparam_image_text_r3_20260319_060829,5e-05,0.2,0.001,32,N/A,10,93.617,95.0,95.0,95.0,0.97549,16
image_text,hparam_image_text_r4_20260319_065339,5e-05,0.4,0.1,16,N/A,3,95.7447,96.6667,96.6667,96.6667,0.977451,8
image_text,hparam_image_text_r5_20260319_073709,0.0001,0.2,0.01,16,N/A,3,91.4894,90.625,96.6667,93.5484,0.979902,6
image_text,hparam_image_text_r6_20260319_082059,5e-05,0.2,0.01,32,N/A,5,93.617,93.5484,96.6667,95.082,0.986275,17
image_text,hparam_image_text_r7_20260319_090604,1e-05,0.3,0.1,16,N/A,3,90.4255,90.4762,95.0,92.6829,0.95098,12
image_text,hparam_image_text_r8_20260319_095050,5e-05,0.3,0.001,32,N/A,10,93.617,96.5517,93.3333,94.9153,0.977941,13
image_text,hparam_image_text_r9_20260319_103610,0.0001,0.4,0.001,16,N/A,3,93.617,92.1875,98.3333,95.1613,0.982353,7
image_text,hparam_image_text_r10_20260319_112022,1e-05,0.4,0.001,32,N/A,3,87.234,87.5,93.3333,90.3226,0.943627,20
image_text,hparam_image_text_r11_20260319_120954,5e-05,0.2,0.001,16,N/A,5,91.4894,98.1481,88.3333,92.9825,0.973529,8
image_text,hparam_image_text_r12_20260319_125541,5e-05,0.4,0.01,16,N/A,10,96.8085,96.7213,98.3333,97.5207,0.982843,18
image_text,hparam_image_text_r13_20260319_134143,0.0001,0.4,0.1,16,N/A,5,92.5532,94.9153,93.3333,94.1176,0.972549,7
image_text,hparam_image_text_r14_20260319_142604,5e-05,0.2,0.001,32,N/A,3,96.8085,96.7213,98.3333,97.5207,0.980392,15
image_text,hparam_image_text_r15_20260319_151047,0.0001,0.3,0.1,16,N/A,5,93.617,93.5484,96.6667,95.082,0.984314,10
image_text,hparam_image_text_r16_20260319_155456,1e-05,0.4,0.1,32,N/A,10,82.9787,90.7407,81.6667,85.9649,0.913235,16
image_text,hparam_image_text_r17_20260319_164029,0.0001,0.3,0.01,32,N/A,5,95.7447,96.6667,96.6667,96.6667,0.985294,12
image_text,hparam_image_text_r18_20260319_172518,5e-05,0.3,0.01,16,N/A,3,96.8085,96.7213,98.3333,97.5207,0.983333,10
image_text,hparam_image_text_r19_20260319_180933,5e-05,0.4,0.1,32,N/A,5,92.5532,92.0635,96.6667,94.3089,0.984314,9
image_text,hparam_image_text_r20_20260319_185402,1e-05,0.4,0.1,16,N/A,10,86.1702,94.3396,83.3333,88.4956,0.921569,14
image_gaze_text,hparam_image_gaze_text_r1_20260319_193757,0.0001,0.2,0.001,16,0.7,3,90.4255,88.0597,98.3333,92.9134,0.988725,6
image_gaze_text,hparam_image_gaze_text_r2_20260319_202141,5e-05,0.3,0.01,32,0.5,10,93.617,93.5484,96.6667,95.082,0.978922,18
image_gaze_text,hparam_image_gaze_text_r3_20260319_210653,5e-05,0.4,0.01,16,0.5,5,91.4894,93.3333,93.3333,93.3333,0.960784,9
image_gaze_text,hparam_image_gaze_text_r4_20260319_215058,0.0001,0.3,0.1,32,0.7,5,91.4894,98.1481,88.3333,92.9825,0.971569,7
image_gaze_text,hparam_image_gaze_text_r5_20260319_223456,1e-05,0.2,0.001,32,0.5,3,90.4255,91.8033,93.3333,92.562,0.955392,20
image_gaze_text,hparam_image_gaze_text_r6_20260319_232038,0.0001,0.4,0.1,16,0.7,3,92.5532,90.7692,98.3333,94.4,0.987745,7
image_gaze_text,hparam_image_gaze_text_r7_20260320_000436,5e-05,0.4,0.1,16,0.7,3,94.6809,95.082,96.6667,95.8678,0.979412,7
image_gaze_text,hparam_image_gaze_text_r8_20260320_004847,0.0001,0.4,0.1,32,0.5,3,94.6809,96.6102,95.0,95.7983,0.982843,7
image_gaze_text,hparam_image_gaze_text_r9_20260320_013249,1e-05,0.3,0.001,32,0.7,5,89.3617,89.0625,95.0,91.9355,0.955392,20
image_gaze_text,hparam_image_gaze_text_r10_20260320_021806,0.0001,0.3,0.01,16,0.5,5,92.5532,92.0635,96.6667,94.3089,0.965196,10
image_gaze_text,hparam_image_gaze_text_r11_20260320_030206,1e-05,0.3,0.001,16,0.3,5,90.4255,93.2203,91.6667,92.437,0.947549,11
image_gaze_text,hparam_image_gaze_text_r12_20260320_034558,5e-05,0.2,0.01,16,0.5,10,94.6809,96.6102,95.0,95.7983,0.983333,15
image_gaze_text,hparam_image_gaze_text_r13_20260320_043125,0.0001,0.4,0.01,32,0.7,3,93.617,93.5484,96.6667,95.082,0.982353,6
image_gaze_text,hparam_image_gaze_text_r14_20260320_051528,5e-05,0.4,0.01,16,0.7,10,95.7447,96.6667,96.6667,96.6667,0.988725,17
image_gaze_text,hparam_image_gaze_text_r15_20260320_060040,0.0001,0.2,0.001,16,0.3,3,92.5532,93.4426,95.0,94.2149,0.986275,7
image_gaze_text,hparam_image_gaze_text_r16_20260320_064403,1e-05,0.3,0.1,16,0.7,10,87.234,91.3793,88.3333,89.8305,0.923529,14
image_gaze_text,hparam_image_gaze_text_r17_20260320_072820,0.0001,0.3,0.1,32,0.7,3,90.4255,88.0597,98.3333,92.9134,0.985784,8
image_gaze_text,hparam_image_gaze_text_r18_20260320_081229,5e-05,0.3,0.001,32,0.7,10,93.617,95.0,95.0,95.0,0.978922,17
image_gaze_text,hparam_image_gaze_text_r19_20260320_085726,0.0001,0.2,0.001,32,0.5,5,91.4894,90.625,96.6667,93.5484,0.970098,8
image_gaze_text,hparam_image_gaze_text_r20_20260320_094151,0.0001,0.3,0.01,32,0.7,3,96.8085,96.7213,98.3333,97.5207,0.979902,6
